location,opponent,result,gsw_total_pts,opp_total_pts,OT,FG_gsw,FGA_gsw,FG%_gsw,3P_gsw,3PA_gsw,3P%_gsw,2P_gsw,2PA_gsw,2P%_gsw,eFG%_gsw,FT_gsw,FTA_gsw,FT%_gsw,ORB_gsw,DRB_gsw,TRB_gsw,AST_gsw,STL_gsw,BLK_gsw,TOV_gsw,PF_gsw,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
home,PHO,L,104,108,no_OT,36,101,0.356,10,43,0.233,26,58,0.448,0.406,22,28,0.786,18,31,49,19,11,6,11,23,42,95,0.442,11,33,0.333,31,62,0.5,0.5,13,17,0.765,17,43,60,23,5,7,19,22
away,SAC,W,122,114,no_OT,48,87,0.552,14,32,0.438,34,55,0.618,0.632,12,14,0.857,7,32,39,32,14,3,19,24,41,94,0.436,12,40,0.3,29,54,0.537,0.5,20,29,0.69,10,31,41,24,10,3,14,16
away,HOU,W,106,95,no_OT,35,81,0.432,18,45,0.4,17,36,0.472,0.543,18,23,0.783,8,41,49,27,6,6,14,18,34,90,0.378,9,33,0.273,25,57,0.439,0.428,18,19,0.947,10,32,42,22,7,4,7,20
away,NOP,W,130,102,no_OT,51,98,0.52,15,41,0.366,36,57,0.632,0.597,13,20,0.65,21,43,64,28,6,7,15,21,38,93,0.409,10,39,0.256,28,54,0.519,0.462,16,26,0.615,14,25,39,23,8,3,11,18
home,SAC,W,102,101,no_OT,39,81,0.481,11,31,0.355,28,50,0.56,0.549,13,15,0.867,7,29,36,32,5,6,18,17,36,88,0.409,11,35,0.314,25,53,0.472,0.472,18,23,0.783,14,34,48,24,8,4,15,17
away,OKC,W,141,139,no_OT,49,92,0.533,18,40,0.45,31,52,0.596,0.63,25,30,0.833,13,25,38,36,9,2,15,25,50,83,0.602,15,29,0.517,35,54,0.648,0.693,24,30,0.8,7,25,32,26,3,1,19,20
away,CLE,L,104,115,no_OT,34,94,0.362,16,41,0.39,18,53,0.34,0.447,20,30,0.667,17,27,44,26,10,4,13,18,41,83,0.494,11,37,0.297,30,46,0.652,0.56,22,28,0.786,13,41,54,26,8,2,18,21
away,DET,W,120,109,no_OT,46,97,0.474,12,41,0.293,34,56,0.607,0.536,16,21,0.762,17,27,44,26,8,4,11,14,38,80,0.475,13,30,0.433,25,50,0.5,0.556,20,21,0.952,7,32,39,23,8,2,16,20
away,DEN,L,105,108,no_OT,37,86,0.43,11,35,0.314,26,51,0.51,0.494,20,26,0.769,11,38,49,21,5,0,9,20,41,92,0.446,11,35,0.314,30,57,0.526,0.505,15,22,0.682,10,35,45,24,7,4,6,20
home,CLE,L,110,118,no_OT,37,90,0.411,13,38,0.342,24,52,0.462,0.483,23,30,0.767,15,40,55,26,5,3,20,29,37,86,0.43,11,30,0.367,26,56,0.464,0.494,33,43,0.767,11,34,45,23,13,3,11,24
home,MIN,L,110,116,no_OT,37,96,0.385,12,43,0.279,25,53,0.472,0.448,24,28,0.857,19,32,51,24,9,0,14,28,43,82,0.524,9,27,0.333,34,55,0.618,0.579,21,30,0.7,9,38,47,27,8,6,14,19
home,MIN,L,101,104,no_OT,37,88,0.42,13,39,0.333,24,49,0.49,0.494,14,16,0.875,13,33,46,28,11,2,20,22,36,81,0.444,14,34,0.412,22,47,0.468,0.531,18,21,0.857,9,33,42,24,9,5,20,19
home,OKC,L,109,128,no_OT,40,98,0.408,14,41,0.341,26,57,0.456,0.48,15,19,0.789,20,29,49,27,5,4,16,19,44,87,0.506,19,32,0.594,25,55,0.455,0.615,21,23,0.913,7,35,42,31,10,3,13,20
home,OKC,L,123,130,OT,44,97,0.454,18,46,0.391,26,51,0.51,0.546,17,21,0.81,14,35,49,33,6,4,16,18,52,100,0.52,8,23,0.348,44,77,0.571,0.56,18,20,0.9,9,38,47,26,8,7,12,16
home,HOU,W,121,116,no_OT,36,77,0.468,21,43,0.488,15,34,0.441,0.604,28,33,0.848,8,35,43,26,3,1,8,21,44,95,0.463,13,41,0.317,31,54,0.574,0.532,15,19,0.789,15,33,48,28,6,3,8,24
away,PHO,L,115,123,no_OT,43,90,0.478,10,32,0.313,33,58,0.569,0.533,19,29,0.655,11,32,43,29,10,3,16,34,34,76,0.447,11,28,0.393,23,48,0.479,0.52,44,52,0.846,11,32,43,22,9,8,15,22
home,SAS,W,118,112,no_OT,40,81,0.494,19,42,0.452,21,39,0.538,0.611,19,24,0.792,7,34,41,35,7,2,24,21,45,100,0.45,12,47,0.255,33,53,0.623,0.51,10,12,0.833,15,31,46,28,10,3,20,18
away,SAC,L,123,124,no_OT,40,83,0.482,17,41,0.415,23,42,0.548,0.584,26,30,0.867,9,43,52,25,6,6,20,31,41,91,0.451,15,44,0.341,26,47,0.553,0.533,27,42,0.643,12,34,46,25,8,7,10,23
home,LAC,W,120,114,no_OT,41,82,0.5,15,39,0.385,26,43,0.605,0.591,23,31,0.742,10,37,47,30,3,4,9,18,42,95,0.442,12,32,0.375,30,63,0.476,0.505,18,24,0.75,15,28,43,26,5,1,6,21
away,LAC,L,112,113,no_OT,38,86,0.442,17,43,0.395,21,43,0.488,0.541,19,24,0.792,6,36,42,31,5,4,15,15,44,90,0.489,13,39,0.333,31,51,0.608,0.561,12,14,0.857,5,35,40,31,5,6,11,21
home,POR,W,110,106,no_OT,36,86,0.419,10,34,0.294,26,52,0.5,0.477,28,33,0.848,15,35,50,20,4,3,17,19,39,95,0.411,16,46,0.348,23,49,0.469,0.495,12,16,0.75,11,29,40,22,8,3,10,30
away,OKC,L,136,138,OT,49,104,0.471,19,48,0.396,30,56,0.536,0.563,19,23,0.826,24,36,60,29,3,2,29,28,51,98,0.52,5,29,0.172,46,69,0.667,0.546,31,36,0.861,11,28,39,15,17,7,11,22
away,PHO,L,116,119,no_OT,41,92,0.446,16,46,0.348,25,46,0.543,0.533,18,27,0.667,13,38,51,26,9,1,15,28,38,84,0.452,14,39,0.359,24,45,0.533,0.536,29,34,0.853,7,34,41,27,8,7,15,22
away,LAC,L,113,121,no_OT,40,92,0.435,16,45,0.356,24,47,0.511,0.522,17,19,0.895,16,27,43,22,8,2,13,24,41,81,0.506,13,32,0.406,28,49,0.571,0.586,26,30,0.867,10,30,40,27,6,9,14,20
home,BRK,W,124,120,no_OT,44,91,0.484,17,32,0.531,27,59,0.458,0.577,19,20,0.95,13,29,42,29,7,5,14,15,45,93,0.484,17,43,0.395,28,50,0.56,0.575,13,15,0.867,14,28,42,31,6,8,16,21
away,POR,W,118,114,no_OT,46,87,0.529,13,38,0.342,33,49,0.673,0.603,13,19,0.684,11,32,43,31,10,4,14,20,40,85,0.471,13,35,0.371,27,50,0.54,0.547,21,23,0.913,9,28,37,23,10,4,14,20
home,BOS,W,132,126,OT,50,109,0.459,20,50,0.4,30,59,0.508,0.55,12,14,0.857,18,41,59,29,4,5,10,15,47,114,0.412,17,58,0.293,30,56,0.536,0.487,15,17,0.882,18,37,55,28,6,5,8,13
home,WAS,W,129,118,no_OT,47,97,0.485,18,45,0.4,29,52,0.558,0.577,17,20,0.85,14,43,57,33,5,2,12,17,44,97,0.454,11,35,0.314,33,62,0.532,0.51,19,24,0.792,9,30,39,25,7,4,9,16
home,POR,W,126,106,no_OT,48,83,0.578,10,33,0.303,38,50,0.76,0.639,20,24,0.833,13,36,49,38,8,2,18,14,38,84,0.452,13,35,0.371,25,49,0.51,0.53,17,25,0.68,8,22,30,26,13,3,12,20
away,DEN,L,114,120,no_OT,40,87,0.46,14,40,0.35,26,47,0.553,0.54,20,23,0.87,9,30,39,23,7,3,13,23,40,82,0.488,14,34,0.412,26,48,0.542,0.573,26,32,0.813,10,33,43,25,6,4,14,17
home,MIA,L,102,114,no_OT,37,88,0.42,8,33,0.242,29,55,0.527,0.466,20,25,0.8,12,31,43,27,4,7,13,19,44,91,0.484,10,31,0.323,34,60,0.567,0.538,16,22,0.727,10,34,44,26,6,1,10,19
home,DAL,L,122,132,no_OT,47,103,0.456,19,48,0.396,28,55,0.509,0.549,9,13,0.692,16,31,47,32,8,3,11,21,49,88,0.557,16,40,0.4,33,48,0.688,0.648,18,22,0.818,6,37,43,25,5,2,9,14
home,ORL,W,121,115,no_OT,42,78,0.538,13,35,0.371,29,43,0.674,0.622,24,37,0.649,9,27,36,23,9,6,12,19,41,92,0.446,14,36,0.389,27,56,0.482,0.522,19,23,0.826,16,25,41,19,8,4,18,24
home,DEN,L,127,130,no_OT,49,90,0.544,15,36,0.417,34,54,0.63,0.628,14,16,0.875,9,24,33,35,4,3,10,20,48,85,0.565,9,26,0.346,39,59,0.661,0.618,25,29,0.862,11,25,36,28,7,4,9,15
home,DET,W,113,109,no_OT,38,82,0.463,16,38,0.421,22,44,0.5,0.561,21,25,0.84,7,38,45,24,3,5,19,18,44,98,0.449,13,44,0.295,31,54,0.574,0.515,8,10,0.8,10,30,40,25,8,9,11,23
home,TOR,L,118,133,no_OT,45,100,0.45,14,46,0.304,31,54,0.574,0.52,14,15,0.933,15,28,43,30,5,4,11,11,55,94,0.585,15,33,0.455,40,61,0.656,0.665,8,14,0.571,9,36,45,38,7,6,7,14
home,NOP,L,105,141,no_OT,39,89,0.438,12,39,0.308,27,50,0.54,0.506,15,18,0.833,14,29,43,24,4,4,17,19,54,94,0.574,19,40,0.475,35,54,0.648,0.676,14,19,0.737,13,34,47,37,11,7,11,19
away,CHI,W,140,131,no_OT,49,94,0.521,20,47,0.426,29,47,0.617,0.628,22,30,0.733,13,31,44,39,7,4,5,16,50,86,0.581,18,40,0.45,32,46,0.696,0.686,13,16,0.813,6,30,36,31,1,3,12,21
away,MIL,L,118,129,no_OT,47,98,0.48,15,36,0.417,32,62,0.516,0.556,9,14,0.643,12,29,41,23,5,4,8,16,51,94,0.543,13,31,0.419,38,63,0.603,0.612,14,17,0.824,14,36,50,33,6,5,12,15
away,MEM,L,107,116,no_OT,44,90,0.489,10,31,0.323,34,59,0.576,0.544,9,10,0.9,7,38,45,28,4,6,19,25,32,86,0.372,20,54,0.37,12,32,0.375,0.488,32,40,0.8,11,31,42,24,13,10,13,12
home,ATL,W,134,112,no_OT,51,91,0.56,16,33,0.485,35,58,0.603,0.648,16,22,0.727,11,38,49,26,6,9,10,18,39,94,0.415,14,43,0.326,25,51,0.49,0.489,20,26,0.769,13,32,45,30,7,2,11,16
home,SAC,L,133,134,no_OT,48,86,0.558,19,37,0.514,29,49,0.592,0.669,18,23,0.783,6,27,33,30,7,3,13,19,48,91,0.527,22,48,0.458,26,43,0.605,0.648,16,19,0.842,8,26,34,33,8,5,10,21
home,LAL,L,144,145,2OT,55,119,0.462,23,58,0.397,32,61,0.525,0.559,11,16,0.688,11,39,50,37,11,3,17,34,49,101,0.485,9,27,0.333,40,74,0.541,0.53,38,43,0.884,7,48,55,33,9,5,20,21
home,PHI,W,119,107,no_OT,44,79,0.557,14,32,0.438,30,47,0.638,0.646,17,19,0.895,8,34,42,32,6,6,18,20,39,85,0.459,13,30,0.433,26,55,0.473,0.535,16,21,0.762,13,26,39,11,14,2,16,24
away,MEM,W,121,101,no_OT,46,83,0.554,11,29,0.379,35,54,0.648,0.62,18,22,0.818,6,40,46,32,7,8,14,17,35,87,0.402,14,46,0.304,21,41,0.512,0.483,17,24,0.708,9,28,37,30,7,4,14,20
away,ATL,L,134,141,OT,50,112,0.446,18,56,0.321,32,56,0.571,0.527,16,20,0.8,14,43,57,26,4,7,14,23,55,114,0.482,14,43,0.326,41,71,0.577,0.544,17,22,0.773,16,41,57,27,5,4,8,20
away,BRK,W,109,98,no_OT,43,93,0.462,4,22,0.182,39,71,0.549,0.484,19,23,0.826,16,44,60,24,7,8,14,17,34,89,0.382,13,42,0.31,21,47,0.447,0.455,17,22,0.773,11,27,38,23,7,12,10,23
away,PHI,W,127,104,no_OT,47,94,0.5,16,38,0.421,31,56,0.554,0.585,17,22,0.773,12,40,52,30,7,8,13,21,41,98,0.418,8,32,0.25,33,66,0.5,0.459,14,14,1.0,11,29,40,21,7,8,15,16
away,IND,W,131,109,no_OT,52,93,0.559,17,32,0.531,35,61,0.574,0.651,10,13,0.769,10,39,49,33,7,7,17,22,39,81,0.481,12,31,0.387,27,50,0.54,0.556,19,27,0.704,7,23,30,31,11,6,14,17
home,PHO,W,113,112,no_OT,45,101,0.446,17,41,0.415,28,60,0.467,0.53,6,11,0.545,13,39,52,33,6,2,14,20,43,94,0.457,11,34,0.324,32,60,0.533,0.516,15,16,0.938,9,33,42,28,9,8,14,13
away,UTA,W,129,107,no_OT,48,100,0.48,20,44,0.455,28,56,0.5,0.58,13,17,0.765,12,39,51,31,8,4,13,13,41,92,0.446,11,32,0.344,30,60,0.5,0.505,14,16,0.875,9,35,44,23,8,7,18,17
home,LAC,L,125,130,no_OT,47,103,0.456,18,47,0.383,29,56,0.518,0.544,13,18,0.722,13,34,47,34,7,2,9,25,44,88,0.5,13,38,0.342,31,50,0.62,0.574,29,37,0.784,12,36,48,28,6,4,12,21
away,UTA,W,140,137,no_OT,49,92,0.533,20,42,0.476,29,50,0.58,0.641,22,28,0.786,13,28,41,42,8,6,13,19,43,93,0.462,22,49,0.449,21,44,0.477,0.581,29,32,0.906,17,31,48,33,10,3,16,22
home,LAL,W,128,110,no_OT,50,107,0.467,16,41,0.39,34,66,0.515,0.542,12,14,0.857,15,33,48,32,6,4,9,19,43,88,0.489,10,35,0.286,33,53,0.623,0.545,14,21,0.667,10,31,41,28,5,9,11,18
home,CHO,W,97,84,no_OT,38,89,0.427,13,42,0.31,25,47,0.532,0.5,8,10,0.8,13,40,53,28,7,7,22,15,32,88,0.364,11,39,0.282,21,49,0.429,0.426,9,11,0.818,13,30,43,21,13,6,19,15
home,DEN,L,103,119,no_OT,35,81,0.432,11,34,0.324,24,47,0.511,0.5,22,29,0.759,11,31,42,27,5,3,17,18,43,88,0.489,11,32,0.344,32,56,0.571,0.551,22,26,0.846,12,33,45,29,10,5,10,20
away,WAS,W,123,112,no_OT,47,94,0.5,21,46,0.457,26,48,0.542,0.612,8,11,0.727,9,35,44,39,12,6,19,11,46,93,0.495,12,35,0.343,34,58,0.586,0.559,8,10,0.8,11,30,41,34,5,5,21,12
away,NYK,W,110,99,no_OT,44,98,0.449,14,44,0.318,30,54,0.556,0.52,8,16,0.5,16,37,53,26,8,5,11,19,35,95,0.368,12,39,0.308,23,56,0.411,0.432,17,24,0.708,17,39,56,23,7,3,13,15
away,TOR,W,120,105,no_OT,44,98,0.449,18,44,0.409,26,54,0.481,0.541,14,18,0.778,15,41,56,26,10,5,14,14,41,95,0.432,12,45,0.267,29,50,0.58,0.495,11,17,0.647,11,36,47,31,9,2,14,14
away,BOS,L,88,140,no_OT,36,92,0.391,7,41,0.171,29,51,0.569,0.429,9,13,0.692,12,34,46,24,2,3,17,13,53,96,0.552,25,49,0.51,28,47,0.596,0.682,9,11,0.818,7,44,51,35,10,5,8,19
home,MIL,W,125,90,no_OT,51,91,0.56,19,39,0.487,32,52,0.615,0.665,4,7,0.571,8,42,50,37,10,13,16,13,34,89,0.382,11,39,0.282,23,50,0.46,0.444,11,15,0.733,6,30,36,19,8,5,15,10
home,CHI,L,122,125,no_OT,44,97,0.454,11,42,0.262,33,55,0.6,0.51,23,28,0.821,13,35,48,31,8,2,11,22,46,87,0.529,16,36,0.444,30,51,0.588,0.621,17,23,0.739,7,33,40,29,6,5,14,22
home,SAS,L,113,126,no_OT,41,88,0.466,10,30,0.333,31,58,0.534,0.523,21,29,0.724,9,30,39,26,9,7,12,24,44,86,0.512,17,33,0.515,27,53,0.509,0.61,21,28,0.75,12,37,49,34,6,6,14,22
away,SAS,W,112,102,no_OT,46,93,0.495,12,27,0.444,34,66,0.515,0.559,8,12,0.667,10,35,45,28,7,4,14,19,39,93,0.419,14,37,0.378,25,56,0.446,0.495,10,15,0.667,13,37,50,27,6,10,15,15
away,DAL,L,99,109,no_OT,37,92,0.402,9,28,0.321,28,64,0.438,0.451,16,19,0.842,15,27,42,19,9,3,17,20,44,82,0.537,6,27,0.222,38,55,0.691,0.573,15,19,0.789,9,33,42,30,6,13,17,16
away,LAL,W,128,121,no_OT,51,97,0.526,14,34,0.412,37,63,0.587,0.598,12,15,0.8,14,31,45,38,3,4,7,19,47,92,0.511,12,34,0.353,35,58,0.603,0.576,15,18,0.833,8,31,39,32,3,4,10,13
home,NYK,L,112,119,no_OT,42,88,0.477,14,36,0.389,28,52,0.538,0.557,14,18,0.778,12,27,39,29,7,5,13,16,44,91,0.484,14,37,0.378,30,54,0.556,0.56,17,20,0.85,14,30,44,29,6,1,13,17
home,MEM,W,137,116,no_OT,58,100,0.58,19,39,0.487,39,61,0.639,0.675,2,6,0.333,13,35,48,43,6,5,7,17,42,96,0.438,18,49,0.367,24,47,0.511,0.531,14,18,0.778,16,29,45,29,4,3,12,15
home,IND,L,111,123,no_OT,43,106,0.406,14,48,0.292,29,58,0.5,0.472,11,16,0.688,24,40,64,24,6,6,14,15,48,99,0.485,15,36,0.417,33,63,0.524,0.561,12,16,0.75,12,38,50,32,8,10,11,14
away,MIN,L,110,114,no_OT,38,85,0.447,14,36,0.389,24,49,0.49,0.529,20,26,0.769,7,34,41,23,8,3,13,19,40,84,0.476,21,40,0.525,19,44,0.432,0.601,13,18,0.722,7,37,44,30,9,5,16,17
away,MIA,W,113,92,no_OT,47,85,0.553,13,38,0.342,34,47,0.723,0.629,6,10,0.6,7,36,43,31,6,5,12,20,37,92,0.402,8,33,0.242,29,59,0.492,0.446,10,13,0.769,11,28,39,24,3,2,9,9
away,ORL,W,101,93,no_OT,40,90,0.444,10,34,0.294,30,56,0.536,0.5,11,13,0.846,12,40,52,26,5,5,13,18,36,85,0.424,10,32,0.313,26,53,0.491,0.482,11,21,0.524,10,29,39,25,10,5,11,13
away,CHO,W,115,97,no_OT,48,89,0.539,11,32,0.344,37,57,0.649,0.601,8,9,0.889,11,39,50,35,7,5,13,19,34,84,0.405,12,46,0.261,22,38,0.579,0.476,17,24,0.708,12,29,41,23,4,2,11,10
away,SAS,W,117,113,no_OT,45,92,0.489,16,39,0.41,29,53,0.547,0.576,11,13,0.846,12,29,41,34,15,3,16,14,40,89,0.449,17,43,0.395,23,46,0.5,0.545,16,18,0.889,16,29,45,31,7,5,19,12
home,DAL,W,104,100,no_OT,41,90,0.456,15,32,0.469,26,58,0.448,0.539,7,7,1.0,11,41,52,29,9,4,17,18,39,89,0.438,15,40,0.375,24,49,0.49,0.522,7,11,0.636,8,34,42,27,8,7,15,14
away,HOU,W,133,110,no_OT,47,80,0.588,17,35,0.486,30,45,0.667,0.694,22,25,0.88,12,31,43,29,6,2,21,23,36,86,0.419,12,40,0.3,24,46,0.522,0.488,26,30,0.867,12,17,29,23,11,1,12,19
away,DAL,L,106,108,no_OT,41,93,0.441,12,35,0.343,29,58,0.5,0.505,12,18,0.667,11,33,44,27,12,5,15,19,40,84,0.476,12,34,0.353,28,50,0.56,0.548,16,21,0.762,8,33,41,30,9,9,18,17
home,UTA,W,118,110,no_OT,49,92,0.533,14,35,0.4,35,57,0.614,0.609,6,6,1.0,11,36,47,32,9,8,16,19,39,83,0.47,15,35,0.429,24,48,0.5,0.56,17,21,0.81,6,23,29,21,4,6,11,9
away,LAL,W,134,120,no_OT,47,80,0.588,26,41,0.634,21,39,0.538,0.75,14,21,0.667,4,38,42,37,3,12,15,17,44,96,0.458,12,35,0.343,32,61,0.525,0.521,20,24,0.833,10,30,40,31,8,3,8,14
away,POR,W,100,92,no_OT,36,77,0.468,12,35,0.343,24,42,0.571,0.545,16,20,0.8,10,36,46,24,8,13,16,18,35,97,0.361,8,34,0.235,27,63,0.429,0.402,14,17,0.824,20,29,49,22,9,3,13,18
home,NOP,L,109,114,no_OT,40,86,0.465,13,34,0.382,27,52,0.519,0.541,16,21,0.762,11,42,53,27,6,5,16,15,42,90,0.467,20,38,0.526,22,52,0.423,0.578,10,16,0.625,5,33,38,24,11,5,9,13
home,UTA,W,123,116,no_OT,45,94,0.479,14,43,0.326,31,51,0.608,0.553,19,23,0.826,12,30,42,35,10,6,9,14,46,89,0.517,14,34,0.412,32,55,0.582,0.596,10,16,0.625,14,34,48,22,6,5,20,20
